          Dimensions           Particles        Hidden-nodes         Metro-steps          StepLength              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling       optimizerType         Interaction               Epoch        LearningRate      HiddenGradNorm     VisibleGradNorm      WeightGradNorm
                   2                   2                   2               65536             0.60000             3.28057             3.68465            13.57662               53771             0.82048                   1              adamGD                   1                   0             0.10000             0.00398             0.21116             0.00048
                   2                   2                   2               65536             0.60000             3.27549             2.43487             5.92861               50506             0.77066                   1              adamGD                   1                   1             0.10000             0.01951             0.26004             0.00636
                   2                   2                   2               65536             0.60000             3.26294             4.25273            18.08575               51920             0.79224                   1              adamGD                   1                   2             0.10000             0.00537             0.15978             0.00105
                   2                   2                   2               65536             0.60000             3.26314             2.30094             5.29432               52981             0.80843                   1              adamGD                   1                   3             0.10000             0.00303             0.15513             0.00030
                   2                   2                   2               65536             0.60000             3.25653             2.83570             8.04121               53413             0.81502                   1              adamGD                   1                   4             0.10000             0.00479             0.24853             0.00050
                   2                   2                   2               65536             0.60000             3.28464             2.02074             4.08341               53422             0.81516                   1              adamGD                   1                   5             0.10000             0.00332             0.25507             0.00030
                   2                   2                   2               65536             0.60000             3.26136             1.74611             3.04889               52620             0.80292                   1              adamGD                   1                   6             0.10000             0.00396             0.22982             0.00096
                   2                   2                   2               65536             0.60000             3.26446             3.88813            15.11753               52124             0.79535                   1              adamGD                   1                   7             0.10000             0.00539             0.24508             0.00177
                   2                   2                   2               65536             0.60000             3.25821             2.52358             6.36846               51632             0.78784                   1              adamGD                   1                   8             0.10000             0.00440             0.18457             0.00156
                   2                   2                   2               65536             0.60000             3.23936             1.79520             3.22275               50985             0.77797                   1              adamGD                   1                   9             0.10000             0.00394             0.17153             0.00138
                   2                   2                   2               65536             0.60000             3.24147             2.45191             6.01184               50564             0.77155                   1              adamGD                   1                  10             0.10000             0.00202             0.13723             0.00036
                   2                   2                   2               65536             0.60000             3.25113             2.32573             5.40902               49835             0.76042                   1              adamGD                   1                  11             0.10000             0.00435             0.12979             0.00148
                   2                   2                   2               65536             0.60000             3.23420             2.12372             4.51019               49053             0.74849                   1              adamGD                   1                  12             0.10000             0.00867             0.13319             0.00342
                   2                   2                   2               65536             0.60000             3.26224             2.03872             4.15637               47990             0.73227                   1              adamGD                   1                  13             0.10000             0.01399             0.15059             0.00624
                   2                   2                   2               65536             0.60000             3.23206             1.72932             2.99054               46484             0.70929                   1              adamGD                   1                  14             0.10000             0.01608             0.16506             0.00828
                   2                   2                   2               65536             0.60000             3.23158             1.70806             2.91747               44754             0.68289                   1              adamGD                   1                  15             0.10000             0.01470             0.14531             0.00878
                   2                   2                   2               65536             0.60000             3.21965             1.41836             2.01174               42842             0.65372                   1              adamGD                   1                  16             0.10000             0.01226             0.15713             0.00846
                   2                   2                   2               65536             0.60000             3.25044             1.49168             2.22510               40888             0.62390                   1              adamGD                   1                  17             0.10000             0.00692             0.14752             0.00545
                   2                   2                   2               65536             0.60000             3.24388             1.98608             3.94453               38958             0.59445                   1              adamGD                   1                  18             0.10000             0.01286             0.18632             0.01147
                   2                   2                   2               65536             0.60000             3.25568             1.42919             2.04258               37483             0.57195                   1              adamGD                   1                  19             0.10000             0.02210             0.20487             0.02126
                   2                   2                   2               65536             0.60000             3.27119             1.99396             3.97587               37181             0.56734                   1              adamGD                   1                  20             0.10000             0.02643             0.20300             0.02583
                   2                   2                   2               65536             0.60000             3.25465             1.43316             2.05395               37779             0.57646                   1              adamGD                   1                  21             0.10000             0.01482             0.22547             0.01422
                   2                   2                   2               65536             0.60000             3.26709             2.00364             4.01456               38096             0.58130                   1              adamGD                   1                  22             0.10000             0.00314             0.17857             0.00292
                   2                   2                   2               65536             0.60000             3.24640             2.69560             7.26625               39139             0.59721                   1              adamGD                   1                  23             0.10000             0.00477             0.20489             0.00430
                   2                   2                   2               65536             0.60000             3.24780             1.63556             2.67506               39805             0.60738                   1              adamGD                   1                  24             0.10000             0.00811             0.16206             0.00708
                   2                   2                   2               65536             0.60000             3.22999             1.90550             3.63095               39915             0.60905                   1              adamGD                   1                  25             0.10000             0.01080             0.16225             0.00925
                   2                   2                   2               65536             0.60000             3.23123             1.81636             3.29917               40266             0.61441                   1              adamGD                   1                  26             0.10000             0.01578             0.13874             0.01333
                   2                   2                   2               65536             0.60000             3.24236             3.16452            10.01421               39905             0.60890                   1              adamGD                   1                  27             0.10000             0.01657             0.11402             0.01396
                   2                   2                   2               65536             0.60000             3.22284             1.58645             2.51684               39719             0.60606                   1              adamGD                   1                  28             0.10000             0.01175             0.08267             0.00971
                   2                   2                   2               65536             0.60000             3.20773             2.04322             4.17475               39359             0.60057                   1              adamGD                   1                  29             0.10000             0.00800             0.04937             0.00607
                   2                   2                   2               65536             0.60000             3.20950             1.57343             2.47568               38775             0.59166                   1              adamGD                   1                  30             0.10000             0.01072             0.04590             0.00872
                   2                   2                   2               65536             0.60000             3.23807             2.58625             6.68866               38204             0.58295                   1              adamGD                   1                  31             0.10000             0.01126             0.03302             0.00990
                   2                   2                   2               65536             0.60000             3.21318             2.45932             6.04828               37492             0.57208                   1              adamGD                   1                  32             0.10000             0.01996             0.09556             0.01887
                   2                   2                   2               65536             0.60000             3.19834             1.52765             2.33371               36943             0.56371                   1              adamGD                   1                  33             0.10000             0.02095             0.11871             0.02062
                   2                   2                   2               65536             0.60000             3.22329             2.10077             4.41324               37020             0.56488                   1              adamGD                   1                  34             0.10000             0.02222             0.14193             0.02351
                   2                   2                   2               65536             0.60000             3.20720             1.51969             2.30946               36867             0.56255                   1              adamGD                   1                  35             0.10000             0.02173             0.14840             0.02308
                   2                   2                   2               65536             0.60000             3.19044             1.63533             2.67429               37099             0.56609                   1              adamGD                   1                  36             0.10000             0.01928             0.17446             0.01903
                   2                   2                   2               65536             0.60000             3.22118             1.98633             3.94552               36822             0.56186                   1              adamGD                   1                  37             0.10000             0.00603             0.16379             0.00645
                   2                   2                   2               65536             0.60000             3.23844             3.61541            13.07119               36717             0.56026                   1              adamGD                   1                  38             0.10000             0.02199             0.20316             0.03041
                   2                   2                   2               65536             0.60000             3.24053             3.44682            11.88057               36850             0.56229                   1              adamGD                   1                  39             0.10000             0.04978             0.25496             0.07018
                   2                   2                   2               65536             0.60000             3.21985             1.38212             1.91025               37235             0.56816                   1              adamGD                   1                  40             0.10000             0.06291             0.30592             0.09031
                   2                   2                   2               65536             0.60000             3.24567             2.06319             4.25675               37658             0.57462                   1              adamGD                   1                  41             0.10000             0.04606             0.24991             0.06106
                   2                   2                   2               65536             0.60000             3.21420             1.48321             2.19990               38181             0.58260                   1              adamGD                   1                  42             0.10000             0.02127             0.18280             0.02862
                   2                   2                   2               65536             0.60000             3.21654             1.55660             2.42302               38626             0.58939                   1              adamGD                   1                  43             0.10000             0.01246             0.14021             0.01428
                   2                   2                   2               65536             0.60000             3.21559             2.27954             5.19631               38822             0.59238                   1              adamGD                   1                  44             0.10000             0.01479             0.12307             0.01473
                   2                   2                   2               65536             0.60000             3.19930             1.48895             2.21697               39093             0.59651                   1              adamGD                   1                  45             0.10000             0.01220             0.08089             0.01509
                   2                   2                   2               65536             0.60000             3.22093             2.61424             6.83426               39117             0.59688                   1              adamGD                   1                  46             0.10000             0.02170             0.07950             0.02783
                   2                   2                   2               65536             0.60000             3.20596             2.20881             4.87886               39009             0.59523                   1              adamGD                   1                  47             0.10000             0.02236             0.05997             0.02781
                   2                   2                   2               65536             0.60000             3.21972             2.38237             5.67570               38755             0.59135                   1              adamGD                   1                  48             0.10000             0.02005             0.04384             0.02499
                   2                   2                   2               65536             0.60000             3.21460             1.87642             3.52096               38942             0.59421                   1              adamGD                   1                  49             0.10000             0.02254             0.05650             0.02749
                   2                   2                   2               65536             0.60000             3.21060             2.11976             4.49338               38358             0.58530                   1              adamGD                   1                  50             0.10000             0.02665             0.07860             0.03171
                   2                   2                   2               65536             0.60000             3.22999             6.19151            38.33485               38801             0.59206                   1              adamGD                   1                  51             0.10000             0.02377             0.02862             0.02900
                   2                   2                   2               65536             0.60000             3.20781             2.12397             4.51125               38159             0.58226                   1              adamGD                   1                  52             0.10000             0.02218             0.04001             0.02700
                   2                   2                   2               65536             0.60000             3.21222             2.01925             4.07737               38349             0.58516                   1              adamGD                   1                  53             0.10000             0.02470             0.04811             0.02998
                   2                   2                   2               65536             0.60000             3.21754             2.45893             6.04633               38455             0.58678                   1              adamGD                   1                  54             0.10000             0.02233             0.05633             0.02714
                   2                   2                   2               65536             0.60000             3.21582             2.33278             5.44188               38585             0.58876                   1              adamGD                   1                  55             0.10000             0.02568             0.05912             0.03150
                   2                   2                   2               65536             0.60000             3.20489             2.17310             4.72235               38434             0.58646                   1              adamGD                   1                  56             0.10000             0.02209             0.05186             0.02806
                   2                   2                   2               65536             0.60000             3.20392             1.62500             2.64062               38762             0.59146                   1              adamGD                   1                  57             0.10000             0.02463             0.06044             0.03113
                   2                   2                   2               65536             0.60000             3.19968             1.58796             2.52162               38415             0.58617                   1              adamGD                   1                  58             0.10000             0.02166             0.07175             0.02839
                   2                   2                   2               65536             0.60000             3.19921             1.70131             2.89445               38609             0.58913                   1              adamGD                   1                  59             0.10000             0.02119             0.08979             0.02831
                   2                   2                   2               65536             0.60000             3.18474             1.65626             2.74318               38535             0.58800                   1              adamGD                   1                  60             0.10000             0.02102             0.09513             0.02795
                   2                   2                   2               65536             0.60000             3.20597             2.13679             4.56586               38392             0.58582                   1              adamGD                   1                  61             0.10000             0.02245             0.07721             0.03083
                   2                   2                   2               65536             0.60000             3.20761             1.83915             3.38246               38203             0.58293                   1              adamGD                   1                  62             0.10000             0.02020             0.10102             0.02750
                   2                   2                   2               65536             0.60000             3.18990             1.52401             2.32260               37992             0.57971                   1              adamGD                   1                  63             0.10000             0.02064             0.09906             0.03009
                   2                   2                   2               65536             0.60000             3.19301             1.80774             3.26791               37508             0.57233                   1              adamGD                   1                  64             0.10000             0.02767             0.11098             0.03850
                   2                   2                   2               65536             0.60000             3.17701             1.50243             2.25729               37130             0.56656                   1              adamGD                   1                  65             0.10000             0.02150             0.11418             0.03121
                   2                   2                   2               65536             0.60000             3.20516             2.00751             4.03010               36710             0.56015                   1              adamGD                   1                  66             0.10000             0.02143             0.10161             0.03246
                   2                   2                   2               65536             0.60000             3.19376             2.15819             4.65780               35733             0.54524                   1              adamGD                   1                  67             0.10000             0.01891             0.08710             0.03192
                   2                   2                   2               65536             0.60000             3.16649             1.51531             2.29618               35136             0.53613                   1              adamGD                   1                  68             0.10000             0.01015             0.05835             0.01766
                   2                   2                   2               65536             0.60000             3.16087             1.31481             1.72871               34198             0.52182                   1              adamGD                   1                  69             0.10000             0.01691             0.09193             0.02966
                   2                   2                   2               65536             0.60000             3.17847             1.53722             2.36305               33823             0.51610                   1              adamGD                   1                  70             0.10000             0.00619             0.04836             0.01138
