          Dimensions           Particles        Hidden-nodes         Metro-steps          StepLength              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling       optimizerType         Interaction               Epoch        LearningRate      HiddenGradNorm     VisibleGradNorm      WeightGradNorm
                   2                   2                   2               65536             0.60000             3.28057             3.68465            13.57662               53771             0.82048                   1              adamGD                   1                   0             0.10000             0.00398             0.21116             0.00048
                   2                   2                   2               65536             0.60000             3.28222             3.02338             9.14082               50501             0.77058                   1              adamGD                   1                   1             0.10000             0.01913             0.25624             0.00631
                   2                   2                   2               65536             0.60000             3.24262             2.31899             5.37770               52386             0.79935                   1              adamGD                   1                   2             0.10000             0.00280             0.11800             0.00053
                   2                   2                   2               65536             0.60000             3.26151             2.38035             5.66609               53455             0.81566                   1              adamGD                   1                   3             0.10000             0.00287             0.13412             0.00029
                   2                   2                   2               65536             0.60000             3.24141             1.70414             2.90409               53556             0.81720                   1              adamGD                   1                   4             0.10000             0.00294             0.18189             0.00029
                   2                   2                   2               65536             0.60000             3.25508             1.89904             3.60637               53693             0.81929                   1              adamGD                   1                   5             0.10000             0.00118             0.14109             0.00018
                   2                   2                   2               65536             0.60000             3.23782             1.74323             3.03886               52863             0.80663                   1              adamGD                   1                   6             0.10000             0.00076             0.10837             0.00016
                   2                   2                   2               65536             0.60000             3.22303             1.69478             2.87229               52351             0.79881                   1              adamGD                   1                   7             0.10000             0.00181             0.09129             0.00048
                   2                   2                   2               65536             0.60000             3.23224             1.82082             3.31539               51365             0.78377                   1              adamGD                   1                   8             0.10000             0.00285             0.07606             0.00096
                   2                   2                   2               65536             0.60000             3.22786             2.10220             4.41926               49721             0.75868                   1              adamGD                   1                   9             0.10000             0.00089             0.04491             0.00039
                   2                   2                   2               65536             0.60000             3.24639             2.69652             7.27120               47995             0.73235                   1              adamGD                   1                  10             0.10000             0.00215             0.06846             0.00114
                   2                   2                   2               65536             0.60000             3.23293             1.57146             2.46948               47915             0.73112                   1              adamGD                   1                  11             0.10000             0.00571             0.08478             0.00304
                   2                   2                   2               65536             0.60000             3.21993             1.84508             3.40433               49387             0.75359                   1              adamGD                   1                  12             0.10000             0.00205             0.04876             0.00091
                   2                   2                   2               65536             0.60000             3.25437             2.39379             5.73021               50798             0.77512                   1              adamGD                   1                  13             0.10000             0.00394             0.04334             0.00132
                   2                   2                   2               65536             0.60000             3.23097             2.26200             5.11662               50331             0.76799                   1              adamGD                   1                  14             0.10000             0.00088             0.03886             0.00028
                   2                   2                   2               65536             0.60000             3.22439             1.96982             3.88021               49914             0.76163                   1              adamGD                   1                  15             0.10000             0.00048             0.05013             0.00014
                   2                   2                   2               65536             0.60000             3.22705             2.65442             7.04595               50217             0.76625                   1              adamGD                   1                  16             0.10000             0.00036             0.02889             0.00009
                   2                   2                   2               65536             0.60000             3.23299             1.85957             3.45800               50102             0.76450                   1              adamGD                   1                  17             0.10000             0.00144             0.05909             0.00030
                   2                   2                   2               65536             0.60000             3.22481             2.00505             4.02024               49537             0.75587                   1              adamGD                   1                  18             0.10000             0.00140             0.06085             0.00039
                   2                   2                   2               65536             0.60000             3.23464             2.13952             4.57756               49072             0.74878                   1              adamGD                   1                  19             0.10000             0.00061             0.04524             0.00020
                   2                   2                   2               65536             0.60000             3.22905             1.85210             3.43028               48879             0.74583                   1              adamGD                   1                  20             0.10000             0.00143             0.02691             0.00060
                   2                   2                   2               65536             0.60000             3.20777             1.53459             2.35497               49062             0.74863                   1              adamGD                   1                  21             0.10000             0.00331             0.04807             0.00144
                   2                   2                   2               65536             0.60000             3.20976             1.84029             3.38668               50563             0.77153                   1              adamGD                   1                  22             0.10000             0.00365             0.01415             0.00206
                   2                   2                   2               65536             0.60000             3.20803             1.63757             2.68163               50766             0.77463                   1              adamGD                   1                  23             0.10000             0.00360             0.01822             0.00232
                   2                   2                   2               65536             0.60000             3.19822             1.66424             2.76969               50888             0.77649                   1              adamGD                   1                  24             0.10000             0.00235             0.04298             0.00184
                   2                   2                   2               65536             0.60000             3.19890             1.61817             2.61847               51177             0.78090                   1              adamGD                   1                  25             0.10000             0.00130             0.03261             0.00112
                   2                   2                   2               65536             0.60000             3.17258             1.53949             2.37002               51437             0.78487                   1              adamGD                   1                  26             0.10000             0.00060             0.07166             0.00030
                   2                   2                   2               65536             0.60000             3.18534             1.83573             3.36991               51775             0.79002                   1              adamGD                   1                  27             0.10000             0.00412             0.01888             0.00437
                   2                   2                   2               65536             0.60000             3.17248             1.83829             3.37932               52067             0.79448                   1              adamGD                   1                  28             0.10000             0.00225             0.04569             0.00267
                   2                   2                   2               65536             0.60000             3.16357             1.94470             3.78187               52627             0.80302                   1              adamGD                   1                  29             0.10000             0.00203             0.02531             0.00245
                   2                   2                   2               65536             0.60000             3.15919             2.26027             5.10880               52972             0.80829                   1              adamGD                   1                  30             0.10000             0.00310             0.02778             0.00399
                   2                   2                   2               65536             0.60000             3.14788             1.55701             2.42428               52745             0.80482                   1              adamGD                   1                  31             0.10000             0.00160             0.02421             0.00227
                   2                   2                   2               65536             0.60000             3.15166             2.69495             7.26275               52470             0.80063                   1              adamGD                   1                  32             0.10000             0.01483             0.08656             0.02320
                   2                   2                   2               65536             0.60000             3.14558             1.77796             3.16114               53105             0.81032                   1              adamGD                   1                  33             0.10000             0.01728             0.08537             0.02524
                   2                   2                   2               65536             0.60000             3.16129             2.76891             7.66684               53886             0.82224                   1              adamGD                   1                  34             0.10000             0.00318             0.05614             0.00476
                   2                   2                   2               65536             0.60000             3.14593             1.63147             2.66168               53368             0.81433                   1              adamGD                   1                  35             0.10000             0.01315             0.05812             0.02063
                   2                   2                   2               65536             0.60000             3.15028             1.86857             3.49155               53546             0.81705                   1              adamGD                   1                  36             0.10000             0.00225             0.05391             0.00341
                   2                   2                   2               65536             0.60000             3.14389             1.79859             3.23493               54287             0.82835                   1              adamGD                   1                  37             0.10000             0.00599             0.04407             0.00882
                   2                   2                   2               65536             0.60000             3.13860             1.55587             2.42072               54068             0.82501                   1              adamGD                   1                  38             0.10000             0.00060             0.05156             0.00089
                   2                   2                   2               65536             0.60000             3.15526             1.62150             2.62927               54245             0.82771                   1              adamGD                   1                  39             0.10000             0.00271             0.03686             0.00403
                   2                   2                   2               65536             0.60000             3.13575             1.55838             2.42855               53955             0.82329                   1              adamGD                   1                  40             0.10000             0.00352             0.01952             0.00517
                   2                   2                   2               65536             0.60000             3.18102             5.99025            35.88315               54265             0.82802                   1              adamGD                   1                  41             0.10000             0.00240             0.03235             0.00341
                   2                   2                   2               65536             0.60000             3.16883             2.17285             4.72127               54093             0.82539                   1              adamGD                   1                  42             0.10000             0.00691             0.06650             0.00977
                   2                   2                   2               65536             0.60000             3.14843             1.56601             2.45240               53973             0.82356                   1              adamGD                   1                  43             0.10000             0.00799             0.03786             0.01174
                   2                   2                   2               65536             0.60000             3.14970             1.84469             3.40290               54311             0.82872                   1              adamGD                   1                  44             0.10000             0.00425             0.04477             0.00609
                   2                   2                   2               65536             0.60000             3.14610             1.58904             2.52504               54265             0.82802                   1              adamGD                   1                  45             0.10000             0.00676             0.04188             0.00924
                   2                   2                   2               65536             0.60000             3.15745             1.91182             3.65507               54557             0.83247                   1              adamGD                   1                  46             0.10000             0.00469             0.02962             0.00648
                   2                   2                   2               65536             0.60000             3.14934             1.52302             2.31960               54123             0.82585                   1              adamGD                   1                  47             0.10000             0.00756             0.05076             0.01086
                   2                   2                   2               65536             0.60000             3.15779             1.91246             3.65750               54606             0.83322                   1              adamGD                   1                  48             0.10000             0.00137             0.03419             0.00192
                   2                   2                   2               65536             0.60000             3.15813             1.62198             2.63083               54362             0.82950                   1              adamGD                   1                  49             0.10000             0.00419             0.06661             0.00570
                   2                   2                   2               65536             0.60000             3.14308             1.67548             2.80724               54540             0.83221                   1              adamGD                   1                  50             0.10000             0.00060             0.04334             0.00083
                   2                   2                   2               65536             0.60000             3.15107             1.52283             2.31901               54744             0.83533                   1              adamGD                   1                  51             0.10000             0.00255             0.03659             0.00355
                   2                   2                   2               65536             0.60000             3.14594             1.49473             2.23422               54857             0.83705                   1              adamGD                   1                  52             0.10000             0.00075             0.05972             0.00102
                   2                   2                   2               65536             0.60000             3.15471             1.60559             2.57791               54285             0.82832                   1              adamGD                   1                  53             0.10000             0.00197             0.01990             0.00269
                   2                   2                   2               65536             0.60000             3.13802             1.62847             2.65192               54306             0.82864                   1              adamGD                   1                  54             0.10000             0.00624             0.05821             0.00870
                   2                   2                   2               65536             0.60000             3.15213             1.46503             2.14632               54663             0.83409                   1              adamGD                   1                  55             0.10000             0.00365             0.03813             0.00485
                   2                   2                   2               65536             0.60000             3.15452             1.54912             2.39976               54460             0.83099                   1              adamGD                   1                  56             0.10000             0.00619             0.05193             0.00821
                   2                   2                   2               65536             0.60000             3.14990             1.45165             2.10729               54360             0.82947                   1              adamGD                   1                  57             0.10000             0.00658             0.04595             0.00923
                   2                   2                   2               65536             0.60000             3.15775             2.02182             4.08777               54541             0.83223                   1              adamGD                   1                  58             0.10000             0.00393             0.04345             0.00539
                   2                   2                   2               65536             0.60000             3.20058             5.45852            29.79549               54256             0.82788                   1              adamGD                   1                  59             0.10000             0.00796             0.07601             0.01037
                   2                   2                   2               65536             0.60000             3.15015             1.62128             2.62855               54345             0.82924                   1              adamGD                   1                  60             0.10000             0.00009             0.04462             0.00012
                   2                   2                   2               65536             0.60000             3.15374             1.67995             2.82223               53936             0.82300                   1              adamGD                   1                  61             0.10000             0.00650             0.05508             0.00891
                   2                   2                   2               65536             0.60000             3.14952             1.63607             2.67672               53705             0.81947                   1              adamGD                   1                  62             0.10000             0.00272             0.01372             0.00358
                   2                   2                   2               65536             0.60000             3.16657             1.78794             3.19671               53158             0.81113                   1              adamGD                   1                  63             0.10000             0.00309             0.04270             0.00404
                   2                   2                   2               65536             0.60000             3.16361             1.85534             3.44229               52741             0.80476                   1              adamGD                   1                  64             0.10000             0.00487             0.03209             0.00651
                   2                   2                   2               65536             0.60000             3.15945             1.61987             2.62396               53068             0.80975                   1              adamGD                   1                  65             0.10000             0.00057             0.01999             0.00074
                   2                   2                   2               65536             0.60000             3.15657             1.52791             2.33452               53330             0.81375                   1              adamGD                   1                  66             0.10000             0.00146             0.03659             0.00186
                   2                   2                   2               65536             0.60000             3.15355             1.44294             2.08206               53527             0.81676                   1              adamGD                   1                  67             0.10000             0.00224             0.02743             0.00286
                   2                   2                   2               65536             0.60000             3.15197             1.48516             2.20570               53711             0.81956                   1              adamGD                   1                  68             0.10000             0.00084             0.01400             0.00110
                   2                   2                   2               65536             0.60000             3.15096             1.42409             2.02804               53470             0.81589                   1              adamGD                   1                  69             0.10000             0.00884             0.03702             0.01204
                   2                   2                   2               65536             0.60000             3.17577             2.65081             7.02681               53893             0.82234                   1              adamGD                   1                  70             0.10000             0.00510             0.05057             0.00650
                   2                   2                   2               65536             0.60000             3.16593             1.78092             3.17169               53970             0.82352                   1              adamGD                   1                  71             0.10000             0.00554             0.02590             0.00705
