          Dimensions           Particles        Hidden-nodes         Metro-steps          StepLength              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling       optimizerType         Interaction               Epoch        LearningRate      HiddenGradNorm     VisibleGradNorm      WeightGradNorm
                   2                   2                   2               65536             0.60000             3.28057             3.68465            13.57662               53771             0.82048                   1              adamGD                   1                   0             0.10000             0.00398             0.21116             0.00048
                   2                   2                   2               65536             0.60000             3.28222             3.02450             9.14760               50499             0.77055                   1              adamGD                   1                   1             0.10000             0.01913             0.25627             0.00631
                   2                   2                   2               65536             0.60000             3.23977             2.03377             4.13620               52314             0.79825                   1              adamGD                   1                   2             0.10000             0.00315             0.12479             0.00059
                   2                   2                   2               65536             0.60000             3.26467             2.40519             5.78492               53370             0.81436                   1              adamGD                   1                   3             0.10000             0.00280             0.14002             0.00028
                   2                   2                   2               65536             0.60000             3.24357             1.71803             2.95162               53546             0.81705                   1              adamGD                   1                   4             0.10000             0.00345             0.20142             0.00034
                   2                   2                   2               65536             0.60000             3.26494             1.97057             3.88316               53657             0.81874                   1              adamGD                   1                   5             0.10000             0.00156             0.17765             0.00019
                   2                   2                   2               65536             0.60000             3.24619             1.97880             3.91564               52941             0.80782                   1              adamGD                   1                   6             0.10000             0.00019             0.13582             0.00003
                   2                   2                   2               65536             0.60000             3.22705             1.65065             2.72464               52443             0.80022                   1              adamGD                   1                   7             0.10000             0.00067             0.12146             0.00018
                   2                   2                   2               65536             0.60000             3.23513             2.01995             4.08019               51788             0.79022                   1              adamGD                   1                   8             0.10000             0.00212             0.08679             0.00067
                   2                   2                   2               65536             0.60000             3.23065             1.76853             3.12769               50703             0.77367                   1              adamGD                   1                   9             0.10000             0.00301             0.08083             0.00113
                   2                   2                   2               65536             0.60000             3.25513             3.02764             9.16658               49398             0.75375                   1              adamGD                   1                  10             0.10000             0.00576             0.10115             0.00261
                   2                   2                   2               65536             0.60000             3.24294             1.93767             3.75455               47474             0.72440                   1              adamGD                   1                  11             0.10000             0.00324             0.06042             0.00180
                   2                   2                   2               65536             0.60000             3.21895             1.61382             2.60442               46654             0.71188                   1              adamGD                   1                  12             0.10000             0.01169             0.12675             0.00721
                   2                   2                   2               65536             0.60000             3.23915             1.92371             3.70066               48374             0.73813                   1              adamGD                   1                  13             0.10000             0.00061             0.08155             0.00018
                   2                   2                   2               65536             0.60000             3.21494             1.49282             2.22851               49255             0.75157                   1              adamGD                   1                  14             0.10000             0.00119             0.08605             0.00052
                   2                   2                   2               65536             0.60000             3.22990             2.14699             4.60958               50151             0.76524                   1              adamGD                   1                  15             0.10000             0.00308             0.07793             0.00128
                   2                   2                   2               65536             0.60000             3.22068             1.77857             3.16331               50786             0.77493                   1              adamGD                   1                  16             0.10000             0.00148             0.03519             0.00060
                   2                   2                   2               65536             0.60000             3.23318             1.76806             3.12603               50818             0.77542                   1              adamGD                   1                  17             0.10000             0.00025             0.05592             0.00010
                   2                   2                   2               65536             0.60000             3.23654             2.09663             4.39585               50688             0.77344                   1              adamGD                   1                  18             0.10000             0.00167             0.05793             0.00066
                   2                   2                   2               65536             0.60000             3.24525             3.69040            13.61904               50494             0.77048                   1              adamGD                   1                  19             0.10000             0.00107             0.06340             0.00039
                   2                   2                   2               65536             0.60000             3.22908             1.83753             3.37653               50230             0.76645                   1              adamGD                   1                  20             0.10000             0.00087             0.05112             0.00033
                   2                   2                   2               65536             0.60000             3.23614             2.08207             4.33504               49818             0.76016                   1              adamGD                   1                  21             0.10000             0.00041             0.04063             0.00016
                   2                   2                   2               65536             0.60000             3.22131             1.73684             3.01663               49596             0.75677                   1              adamGD                   1                  22             0.10000             0.00115             0.04072             0.00042
                   2                   2                   2               65536             0.60000             3.22752             1.61974             2.62355               49195             0.75066                   1              adamGD                   1                  23             0.10000             0.00013             0.02821             0.00002
                   2                   2                   2               65536             0.60000             3.23586             2.08335             4.34034               48877             0.74580                   1              adamGD                   1                  24             0.10000             0.00028             0.01792             0.00010
                   2                   2                   2               65536             0.60000             3.24706             2.69980             7.28894               48694             0.74301                   1              adamGD                   1                  25             0.10000             0.00033             0.01765             0.00013
                   2                   2                   2               65536             0.60000             3.22764             1.76015             3.09812               48606             0.74167                   1              adamGD                   1                  26             0.10000             0.00166             0.03852             0.00069
                   2                   2                   2               65536             0.60000             3.21838             1.52672             2.33086               48638             0.74216                   1              adamGD                   1                  27             0.10000             0.00032             0.04123             0.00010
                   2                   2                   2               65536             0.60000             3.22495             1.52557             2.32735               48810             0.74478                   1              adamGD                   1                  28             0.10000             0.00114             0.03038             0.00046
                   2                   2                   2               65536             0.60000             3.23079             2.37035             5.61858               49298             0.75223                   1              adamGD                   1                  29             0.10000             0.00162             0.03394             0.00063
                   2                   2                   2               65536             0.60000             3.22859             1.71057             2.92606               49700             0.75836                   1              adamGD                   1                  30             0.10000             0.00022             0.02899             0.00008
                   2                   2                   2               65536             0.60000             3.22771             2.04262             4.17230               49802             0.75992                   1              adamGD                   1                  31             0.10000             0.00054             0.03390             0.00017
                   2                   2                   2               65536             0.60000             3.21926             1.80553             3.25995               50136             0.76501                   1              adamGD                   1                  32             0.10000             0.00011             0.01543             0.00003
                   2                   2                   2               65536             0.60000             3.22682             1.87116             3.50123               50187             0.76579                   1              adamGD                   1                  33             0.10000             0.00189             0.04595             0.00063
                   2                   2                   2               65536             0.60000             3.21694             1.70710             2.91418               50250             0.76675                   1              adamGD                   1                  34             0.10000             0.00009             0.01673             0.00000
                   2                   2                   2               65536             0.60000             3.23693             2.20941             4.88148               50180             0.76569                   1              adamGD                   1                  35             0.10000             0.00042             0.03111             0.00014
                   2                   2                   2               65536             0.60000             3.22451             1.80256             3.24921               50013             0.76314                   1              adamGD                   1                  36             0.10000             0.00109             0.03082             0.00038
                   2                   2                   2               65536             0.60000             3.23682             2.19191             4.80447               49611             0.75700                   1              adamGD                   1                  37             0.10000             0.00060             0.02534             0.00022
                   2                   2                   2               65536             0.60000             3.23781             1.93483             3.74356               49328             0.75269                   1              adamGD                   1                  38             0.10000             0.00147             0.04335             0.00055
                   2                   2                   2               65536             0.60000             3.22882             2.14221             4.58904               49395             0.75371                   1              adamGD                   1                  39             0.10000             0.00028             0.02037             0.00010
                   2                   2                   2               65536             0.60000             3.21874             1.34890             1.81954               48850             0.74539                   1              adamGD                   1                  40             0.10000             0.00246             0.04369             0.00101
                   2                   2                   2               65536             0.60000             3.22898             2.37979             5.66338               48914             0.74637                   1              adamGD                   1                  41             0.10000             0.00168             0.03176             0.00067
                   2                   2                   2               65536             0.60000             3.22916             1.59342             2.53898               49109             0.74934                   1              adamGD                   1                  42             0.10000             0.00129             0.03120             0.00049
                   2                   2                   2               65536             0.60000             3.23386             2.27296             5.16637               49331             0.75273                   1              adamGD                   1                  43             0.10000             0.00016             0.01466             0.00005
                   2                   2                   2               65536             0.60000             3.21849             1.50729             2.27191               49459             0.75468                   1              adamGD                   1                  44             0.10000             0.00046             0.02493             0.00017
                   2                   2                   2               65536             0.60000             3.23847             2.21634             4.91215               49582             0.75656                   1              adamGD                   1                  45             0.10000             0.00038             0.03449             0.00012
                   2                   2                   2               65536             0.60000             3.22398             1.49851             2.24553               49380             0.75348                   1              adamGD                   1                  46             0.10000             0.00008             0.00684             0.00003
                   2                   2                   2               65536             0.60000             3.21258             1.38543             1.91942               49259             0.75163                   1              adamGD                   1                  47             0.10000             0.00162             0.03302             0.00060
                   2                   2                   2               65536             0.60000             3.21789             1.53680             2.36176               49281             0.75197                   1              adamGD                   1                  48             0.10000             0.00038             0.00966             0.00014
