          Dimensions           Particles        Hidden-nodes         Metro-steps          StepLength              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling       optimizerType         Interaction               Epoch        LearningRate      HiddenGradNorm     VisibleGradNorm      WeightGradNorm
                   2                   2                   2               65536             0.60000             3.28057             3.68465            13.57662               53771             0.82048                   1              adamGD                   1                   0             0.10000             0.00398             0.21116             0.00048
                   2                   2                   2               65536             0.60000             3.27549             2.43487             5.92861               50506             0.77066                   1              adamGD                   1                   1             0.10000             0.01951             0.26004             0.00636
                   2                   2                   2               65536             0.60000             3.24071             2.26227             5.11789               52335             0.79857                   1              adamGD                   1                   2             0.10000             0.00316             0.11939             0.00058
                   2                   2                   2               65536             0.60000             3.26101             2.37697             5.64998               53358             0.81418                   1              adamGD                   1                   3             0.10000             0.00292             0.13783             0.00030
                   2                   2                   2               65536             0.60000             3.24653             1.75341             3.07443               53505             0.81642                   1              adamGD                   1                   4             0.10000             0.00331             0.19448             0.00034
                   2                   2                   2               65536             0.60000             3.26553             1.95520             3.82281               53504             0.81641                   1              adamGD                   1                   5             0.10000             0.00169             0.17824             0.00023
                   2                   2                   2               65536             0.60000             3.25134             1.97577             3.90368               52782             0.80539                   1              adamGD                   1                   6             0.10000             0.00032             0.14088             0.00005
                   2                   2                   2               65536             0.60000             3.23356             1.83249             3.35801               52298             0.79800                   1              adamGD                   1                   7             0.10000             0.00051             0.12915             0.00014
                   2                   2                   2               65536             0.60000             3.23595             1.94008             3.76393               51624             0.78772                   1              adamGD                   1                   8             0.10000             0.00213             0.08874             0.00071
                   2                   2                   2               65536             0.60000             3.22806             1.74114             3.03158               50533             0.77107                   1              adamGD                   1                   9             0.10000             0.00209             0.06968             0.00081
                   2                   2                   2               65536             0.60000             3.25142             3.04811             9.29100               49241             0.75136                   1              adamGD                   1                  10             0.10000             0.00543             0.09958             0.00254
                   2                   2                   2               65536             0.60000             3.24251             1.76521             3.11596               47346             0.72244                   1              adamGD                   1                  11             0.10000             0.00424             0.07403             0.00244
                   2                   2                   2               65536             0.60000             3.22045             1.61130             2.59629               47007             0.71727                   1              adamGD                   1                  12             0.10000             0.01032             0.11936             0.00625
                   2                   2                   2               65536             0.60000             3.25114             3.07309             9.44388               48685             0.74287                   1              adamGD                   1                  13             0.10000             0.00106             0.05194             0.00047
                   2                   2                   2               65536             0.60000             3.21493             1.63817             2.68360               49377             0.75343                   1              adamGD                   1                  14             0.10000             0.00077             0.06848             0.00030
                   2                   2                   2               65536             0.60000             3.22967             2.14607             4.60562               50239             0.76659                   1              adamGD                   1                  15             0.10000             0.00284             0.06314             0.00113
                   2                   2                   2               65536             0.60000             3.21254             1.56768             2.45761               50833             0.77565                   1              adamGD                   1                  16             0.10000             0.00090             0.02874             0.00037
                   2                   2                   2               65536             0.60000             3.23437             1.78081             3.17129               50849             0.77589                   1              adamGD                   1                  17             0.10000             0.00090             0.05319             0.00036
                   2                   2                   2               65536             0.60000             3.22466             1.88397             3.54933               50773             0.77473                   1              adamGD                   1                  18             0.10000             0.00194             0.04520             0.00075
                   2                   2                   2               65536             0.60000             3.24533             3.21744            10.35193               50628             0.77252                   1              adamGD                   1                  19             0.10000             0.00140             0.05999             0.00052
                   2                   2                   2               65536             0.60000             3.22062             1.70103             2.89350               50526             0.77097                   1              adamGD                   1                  20             0.10000             0.00040             0.04723             0.00015
                   2                   2                   2               65536             0.60000             3.22993             1.71876             2.95413               50202             0.76602                   1              adamGD                   1                  21             0.10000             0.00068             0.03597             0.00026
                   2                   2                   2               65536             0.60000             3.22074             1.60410             2.57312               49929             0.76186                   1              adamGD                   1                  22             0.10000             0.00093             0.01500             0.00037
                   2                   2                   2               65536             0.60000             3.22859             1.68423             2.83663               49456             0.75464                   1              adamGD                   1                  23             0.10000             0.00023             0.02240             0.00005
                   2                   2                   2               65536             0.60000             3.23854             2.12488             4.51513               49051             0.74846                   1              adamGD                   1                  24             0.10000             0.00051             0.02983             0.00013
                   2                   2                   2               65536             0.60000             3.24894             3.46012            11.97246               48773             0.74422                   1              adamGD                   1                  25             0.10000             0.00106             0.02698             0.00044
                   2                   2                   2               65536             0.60000             3.22383             1.70032             2.89110               48593             0.74147                   1              adamGD                   1                  26             0.10000             0.00212             0.04277             0.00091
                   2                   2                   2               65536             0.60000             3.22406             1.55994             2.43342               48593             0.74147                   1              adamGD                   1                  27             0.10000             0.00107             0.04083             0.00044
                   2                   2                   2               65536             0.60000             3.22611             1.51751             2.30284               48702             0.74313                   1              adamGD                   1                  28             0.10000             0.00169             0.02850             0.00073
                   2                   2                   2               65536             0.60000             3.23326             2.29477             5.26597               49232             0.75122                   1              adamGD                   1                  29             0.10000             0.00259             0.04614             0.00107
                   2                   2                   2               65536             0.60000             3.22719             1.70805             2.91745               49749             0.75911                   1              adamGD                   1                  30             0.10000             0.00040             0.03261             0.00013
                   2                   2                   2               65536             0.60000             3.22800             1.94665             3.78946               49882             0.76114                   1              adamGD                   1                  31             0.10000             0.00118             0.01990             0.00042
                   2                   2                   2               65536             0.60000             3.21756             1.76698             3.12222               50235             0.76653                   1              adamGD                   1                  32             0.10000             0.00035             0.02056             0.00010
                   2                   2                   2               65536             0.60000             3.22438             1.83344             3.36150               50225             0.76637                   1              adamGD                   1                  33             0.10000             0.00169             0.04481             0.00058
                   2                   2                   2               65536             0.60000             3.21626             1.70705             2.91403               50232             0.76648                   1              adamGD                   1                  34             0.10000             0.00006             0.01270             0.00002
                   2                   2                   2               65536             0.60000             3.23356             1.94905             3.79879               50177             0.76564                   1              adamGD                   1                  35             0.10000             0.00018             0.03084             0.00001
                   2                   2                   2               65536             0.60000             3.22698             1.83345             3.36155               50094             0.76437                   1              adamGD                   1                  36             0.10000             0.00118             0.02860             0.00042
                   2                   2                   2               65536             0.60000             3.23623             2.29860             5.28357               49721             0.75868                   1              adamGD                   1                  37             0.10000             0.00097             0.03531             0.00037
                   2                   2                   2               65536             0.60000             3.23800             1.90222             3.61844               49444             0.75446                   1              adamGD                   1                  38             0.10000             0.00161             0.04467             0.00061
                   2                   2                   2               65536             0.60000             3.22832             2.09483             4.38833               49485             0.75508                   1              adamGD                   1                  39             0.10000             0.00075             0.01876             0.00030
                   2                   2                   2               65536             0.60000             3.21841             1.35424             1.83395               48916             0.74640                   1              adamGD                   1                  40             0.10000             0.00222             0.03532             0.00093
                   2                   2                   2               65536             0.60000             3.22923             2.30395             5.30819               48941             0.74678                   1              adamGD                   1                  41             0.10000             0.00148             0.02858             0.00061
                   2                   2                   2               65536             0.60000             3.22538             1.51848             2.30577               49105             0.74928                   1              adamGD                   1                  42             0.10000             0.00103             0.02590             0.00040
                   2                   2                   2               65536             0.60000             3.22944             2.03029             4.12207               49358             0.75314                   1              adamGD                   1                  43             0.10000             0.00018             0.01050             0.00007
                   2                   2                   2               65536             0.60000             3.21753             1.50900             2.27708               49541             0.75594                   1              adamGD                   1                  44             0.10000             0.00016             0.01955             0.00006
                   2                   2                   2               65536             0.60000             3.23793             2.22007             4.92872               49753             0.75917                   1              adamGD                   1                  45             0.10000             0.00053             0.02862             0.00019
                   2                   2                   2               65536             0.60000             3.22463             1.50132             2.25397               49564             0.75629                   1              adamGD                   1                  46             0.10000             0.00025             0.01165             0.00009
                   2                   2                   2               65536             0.60000             3.21668             1.46835             2.15607               49444             0.75446                   1              adamGD                   1                  47             0.10000             0.00120             0.02340             0.00046
                   2                   2                   2               65536             0.60000             3.21587             1.53955             2.37022               49450             0.75455                   1              adamGD                   1                  48             0.10000             0.00050             0.01130             0.00019
                   2                   2                   2               65536             0.60000             3.23323             2.11848             4.48794               49405             0.75386                   1              adamGD                   1                  49             0.10000             0.00080             0.02413             0.00030
                   2                   2                   2               65536             0.60000             3.21339             1.66317             2.76614               49295             0.75218                   1              adamGD                   1                  50             0.10000             0.00084             0.02662             0.00030
                   2                   2                   2               65536             0.60000             3.22619             2.27544             5.17765               49554             0.75613                   1              adamGD                   1                  51             0.10000             0.00042             0.01721             0.00015
                   2                   2                   2               65536             0.60000             3.21900             1.70764             2.91603               49369             0.75331                   1              adamGD                   1                  52             0.10000             0.00036             0.02914             0.00011
                   2                   2                   2               65536             0.60000             3.23737             2.54619             6.48307               49384             0.75354                   1              adamGD                   1                  53             0.10000             0.00141             0.02691             0.00046
                   2                   2                   2               65536             0.60000             3.24517             7.79758            60.80222               49455             0.75462                   1              adamGD                   1                  54             0.10000             0.00054             0.03380             0.00018
                   2                   2                   2               65536             0.60000             3.24173             2.26011             5.10809               49200             0.75073                   1              adamGD                   1                  55             0.10000             0.00238             0.06146             0.00081
                   2                   2                   2               65536             0.60000             3.22551             1.85583             3.44410               48919             0.74644                   1              adamGD                   1                  56             0.10000             0.00129             0.05267             0.00041
                   2                   2                   2               65536             0.60000             3.22734             1.39177             1.93702               48885             0.74593                   1              adamGD                   1                  57             0.10000             0.00098             0.01777             0.00030
                   2                   2                   2               65536             0.60000             3.22381             2.17524             4.73169               48887             0.74596                   1              adamGD                   1                  58             0.10000             0.00088             0.05757             0.00025
                   2                   2                   2               65536             0.60000             3.23898             1.58424             2.50980               48890             0.74600                   1              adamGD                   1                  59             0.10000             0.00064             0.02578             0.00018
                   2                   2                   2               65536             0.60000             3.24363             2.64133             6.97661               49227             0.75114                   1              adamGD                   1                  60             0.10000             0.00116             0.01514             0.00034
                   2                   2                   2               65536             0.60000             3.22260             1.53851             2.36702               49003             0.74773                   1              adamGD                   1                  61             0.10000             0.00067             0.03832             0.00019
                   2                   2                   2               65536             0.60000             3.23038             1.46666             2.15110               49280             0.75195                   1              adamGD                   1                  62             0.10000             0.00105             0.03673             0.00032
                   2                   2                   2               65536             0.60000             3.21699             1.45967             2.13063               49251             0.75151                   1              adamGD                   1                  63             0.10000             0.00065             0.02519             0.00020
                   2                   2                   2               65536             0.60000             3.23756             1.81407             3.29086               49518             0.75558                   1              adamGD                   1                  64             0.10000             0.00067             0.04206             0.00020
                   2                   2                   2               65536             0.60000             3.23528             1.78789             3.19655               49681             0.75807                   1              adamGD                   1                  65             0.10000             0.00073             0.03464             0.00022
                   2                   2                   2               65536             0.60000             3.23404             2.10344             4.42444               49554             0.75613                   1              adamGD                   1                  66             0.10000             0.00073             0.03359             0.00023
                   2                   2                   2               65536             0.60000             3.21530             1.36258             1.85662               49364             0.75323                   1              adamGD                   1                  67             0.10000             0.00119             0.03727             0.00040
                   2                   2                   2               65536             0.60000             3.23211             2.03710             4.14978               49113             0.74940                   1              adamGD                   1                  68             0.10000             0.00074             0.04545             0.00026
                   2                   2                   2               65536             0.60000             3.22302             2.31288             5.34941               49455             0.75462                   1              adamGD                   1                  69             0.10000             0.00017             0.03259             0.00005
                   2                   2                   2               65536             0.60000             3.22726             1.69578             2.87566               49642             0.75748                   1              adamGD                   1                  70             0.10000             0.00056             0.03916             0.00023
