          Dimensions           Particles        Hidden-nodes         Metro-steps          StepLength              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling       optimizerType         Interaction               Epoch        LearningRate      HiddenGradNorm     VisibleGradNorm      WeightGradNorm
                   2                   2                   2               65536             0.60000             3.28057             3.68465            13.57662               53771             0.82048                   1              adamGD                   1                   0             0.10000             0.00398             0.21116             0.00048
                   2                   2                   2               65536             0.60000             3.27549             2.43487             5.92861               50506             0.77066                   1              adamGD                   1                   1             0.10000             0.01951             0.26004             0.00636
                   2                   2                   2               65536             0.60000             3.26279             4.25765            18.12759               51920             0.79224                   1              adamGD                   1                   2             0.10000             0.00536             0.15829             0.00105
                   2                   2                   2               65536             0.60000             3.26330             2.30543             5.31501               52979             0.80840                   1              adamGD                   1                   3             0.10000             0.00304             0.15576             0.00030
                   2                   2                   2               65536             0.60000             3.25612             2.81775             7.93971               53413             0.81502                   1              adamGD                   1                   4             0.10000             0.00478             0.24832             0.00050
                   2                   2                   2               65536             0.60000             3.28483             2.02306             4.09276               53422             0.81516                   1              adamGD                   1                   5             0.10000             0.00329             0.25400             0.00030
                   2                   2                   2               65536             0.60000             3.26187             1.77673             3.15677               52626             0.80301                   1              adamGD                   1                   6             0.10000             0.00388             0.22848             0.00094
                   2                   2                   2               65536             0.60000             3.26445             3.85207            14.83844               52134             0.79550                   1              adamGD                   1                   7             0.10000             0.00535             0.24439             0.00175
                   2                   2                   2               65536             0.60000             3.25875             2.54332             6.46847               51635             0.78789                   1              adamGD                   1                   8             0.10000             0.00426             0.18353             0.00150
                   2                   2                   2               65536             0.60000             3.23921             1.83817             3.37888               50989             0.77803                   1              adamGD                   1                   9             0.10000             0.00401             0.17128             0.00141
                   2                   2                   2               65536             0.60000             3.24036             2.44822             5.99379               50558             0.77145                   1              adamGD                   1                  10             0.10000             0.00204             0.13679             0.00038
                   2                   2                   2               65536             0.60000             3.25161             2.37958             5.66242               49814             0.76010                   1              adamGD                   1                  11             0.10000             0.00431             0.12933             0.00148
                   2                   2                   2               65536             0.60000             3.23300             2.11041             4.45384               49032             0.74817                   1              adamGD                   1                  12             0.10000             0.00841             0.13063             0.00333
                   2                   2                   2               65536             0.60000             3.26120             2.01717             4.06897               47989             0.73225                   1              adamGD                   1                  13             0.10000             0.01386             0.14932             0.00621
                   2                   2                   2               65536             0.60000             3.23148             1.70690             2.91352               46484             0.70929                   1              adamGD                   1                  14             0.10000             0.01606             0.16609             0.00831
                   2                   2                   2               65536             0.60000             3.23182             1.70652             2.91222               44719             0.68236                   1              adamGD                   1                  15             0.10000             0.01433             0.14359             0.00862
                   2                   2                   2               65536             0.60000             3.22038             1.54477             2.38631               42804             0.65314                   1              adamGD                   1                  16             0.10000             0.01097             0.15208             0.00763
                   2                   2                   2               65536             0.60000             3.24979             1.48594             2.20803               40796             0.62250                   1              adamGD                   1                  17             0.10000             0.00544             0.14602             0.00432
                   2                   2                   2               65536             0.60000             3.25090             2.38908             5.70771               38847             0.59276                   1              adamGD                   1                  18             0.10000             0.01189             0.18077             0.01071
                   2                   2                   2               65536             0.60000             3.25862             1.43619             2.06263               37330             0.56961                   1              adamGD                   1                  19             0.10000             0.02481             0.21360             0.02416
                   2                   2                   2               65536             0.60000             3.27173             1.91903             3.68267               37184             0.56738                   1              adamGD                   1                  20             0.10000             0.02630             0.20498             0.02584
                   2                   2                   2               65536             0.60000             3.25496             1.45253             2.10985               37889             0.57814                   1              adamGD                   1                  21             0.10000             0.01443             0.22732             0.01386
                   2                   2                   2               65536             0.60000             3.26799             2.51111             6.30568               38356             0.58527                   1              adamGD                   1                  22             0.10000             0.00164             0.18755             0.00152
                   2                   2                   2               65536             0.60000             3.24310             2.05393             4.21861               39407             0.60130                   1              adamGD                   1                  23             0.10000             0.00646             0.20029             0.00579
                   2                   2                   2               65536             0.60000             3.25246             1.69625             2.87727               40094             0.61179                   1              adamGD                   1                  24             0.10000             0.01116             0.15918             0.00969
                   2                   2                   2               65536             0.60000             3.22742             1.65562             2.74107               40194             0.61331                   1              adamGD                   1                  25             0.10000             0.01295             0.16958             0.01104
                   2                   2                   2               65536             0.60000             3.22637             1.68590             2.84226               40525             0.61836                   1              adamGD                   1                  26             0.10000             0.01640             0.14587             0.01382
                   2                   2                   2               65536             0.60000             3.23508             2.19121             4.80141               40096             0.61182                   1              adamGD                   1                  27             0.10000             0.01859             0.13039             0.01573
                   2                   2                   2               65536             0.60000             3.22497             1.63198             2.66337               39852             0.60809                   1              adamGD                   1                  28             0.10000             0.01239             0.08282             0.01035
                   2                   2                   2               65536             0.60000             3.20872             1.59955             2.55856               39430             0.60165                   1              adamGD                   1                  29             0.10000             0.00933             0.06086             0.00744
                   2                   2                   2               65536             0.60000             3.21435             1.79059             3.20623               38693             0.59041                   1              adamGD                   1                  30             0.10000             0.01104             0.04466             0.00904
                   2                   2                   2               65536             0.60000             3.24355             2.71409             7.36631               38023             0.58018                   1              adamGD                   1                  31             0.10000             0.01239             0.04592             0.01108
                   2                   2                   2               65536             0.60000             3.20628             1.87427             3.51290               37260             0.56854                   1              adamGD                   1                  32             0.10000             0.02312             0.11192             0.02226
                   2                   2                   2               65536             0.60000             3.20583             1.51919             2.30793               36750             0.56076                   1              adamGD                   1                  33             0.10000             0.02548             0.14290             0.02539
                   2                   2                   2               65536             0.60000             3.22259             2.51422             6.32129               36865             0.56252                   1              adamGD                   1                  34             0.10000             0.02340             0.16119             0.02486
                   2                   2                   2               65536             0.60000             3.20776             1.67819             2.81633               36769             0.56105                   1              adamGD                   1                  35             0.10000             0.02189             0.15846             0.02303
                   2                   2                   2               65536             0.60000             3.19731             1.66146             2.76043               36991             0.56444                   1              adamGD                   1                  36             0.10000             0.01669             0.18737             0.01592
                   2                   2                   2               65536             0.60000             3.21606             1.75104             3.06614               36770             0.56107                   1              adamGD                   1                  37             0.10000             0.01707             0.19085             0.02352
                   2                   2                   2               65536             0.60000             3.23442             2.72344             7.41713               36745             0.56068                   1              adamGD                   1                  38             0.10000             0.03358             0.22773             0.04842
                   2                   2                   2               65536             0.60000             3.21945             1.38141             1.90830               37092             0.56598                   1              adamGD                   1                  39             0.10000             0.05151             0.27365             0.07279
                   2                   2                   2               65536             0.60000             3.21204             1.31864             1.73881               37688             0.57507                   1              adamGD                   1                  40             0.10000             0.05542             0.27913             0.07756
                   2                   2                   2               65536             0.60000             3.23498             2.19294             4.80898               38225             0.58327                   1              adamGD                   1                  41             0.10000             0.03349             0.21253             0.04144
                   2                   2                   2               65536             0.60000             3.21113             1.51945             2.30872               38733             0.59102                   1              adamGD                   1                  42             0.10000             0.01262             0.15243             0.01526
                   2                   2                   2               65536             0.60000             3.20897             1.47093             2.16363               39239             0.59874                   1              adamGD                   1                  43             0.10000             0.00734             0.10896             0.00614
                   2                   2                   2               65536             0.60000             3.20403             1.62364             2.63620               39446             0.60190                   1              adamGD                   1                  44             0.10000             0.01331             0.09268             0.01510
                   2                   2                   2               65536             0.60000             3.19699             1.45492             2.11680               39782             0.60703                   1              adamGD                   1                  45             0.10000             0.01534             0.06238             0.01894
                   2                   2                   2               65536             0.60000             3.23020             2.72403             7.42032               39920             0.60913                   1              adamGD                   1                  46             0.10000             0.02297             0.06218             0.02805
                   2                   2                   2               65536             0.60000             3.21436             2.32359             5.39906               39896             0.60876                   1              adamGD                   1                  47             0.10000             0.02247             0.05043             0.02660
                   2                   2                   2               65536             0.60000             3.21362             1.89647             3.59660               39673             0.60536                   1              adamGD                   1                  48             0.10000             0.01896             0.03972             0.02247
                   2                   2                   2               65536             0.60000             3.22323             1.92126             3.69123               40011             0.61052                   1              adamGD                   1                  49             0.10000             0.02169             0.04628             0.02539
                   2                   2                   2               65536             0.60000             3.22251             2.60313             6.77631               39425             0.60158                   1              adamGD                   1                  50             0.10000             0.02513             0.07709             0.02879
                   2                   2                   2               65536             0.60000             3.20964             1.69110             2.85983               40034             0.61087                   1              adamGD                   1                  51             0.10000             0.02066             0.02544             0.02401
                   2                   2                   2               65536             0.60000             3.21985             2.90811             8.45711               39603             0.60429                   1              adamGD                   1                  52             0.10000             0.02051             0.02167             0.02395
                   2                   2                   2               65536             0.60000             3.21849             2.04670             4.18898               39686             0.60556                   1              adamGD                   1                  53             0.10000             0.02099             0.01321             0.02470
                   2                   2                   2               65536             0.60000             3.21064             1.88167             3.54067               39690             0.60562                   1              adamGD                   1                  54             0.10000             0.01976             0.05275             0.02334
                   2                   2                   2               65536             0.60000             3.22100             2.16977             4.70790               39879             0.60851                   1              adamGD                   1                  55             0.10000             0.02449             0.04896             0.02878
                   2                   2                   2               65536             0.60000             3.21791             2.12854             4.53068               39576             0.60388                   1              adamGD                   1                  56             0.10000             0.02114             0.06657             0.02537
                   2                   2                   2               65536             0.60000             3.21752             1.71802             2.95158               39834             0.60782                   1              adamGD                   1                  57             0.10000             0.02402             0.07290             0.02892
                   2                   2                   2               65536             0.60000             3.20596             1.95369             3.81689               39577             0.60390                   1              adamGD                   1                  58             0.10000             0.02029             0.07335             0.02576
                   2                   2                   2               65536             0.60000             3.19901             1.68335             2.83368               39737             0.60634                   1              adamGD                   1                  59             0.10000             0.01793             0.10453             0.02329
                   2                   2                   2               65536             0.60000             3.19600             1.67827             2.81660               39626             0.60464                   1              adamGD                   1                  60             0.10000             0.01779             0.10790             0.02282
                   2                   2                   2               65536             0.60000             3.21978             3.39145            11.50194               39448             0.60193                   1              adamGD                   1                  61             0.10000             0.02245             0.07651             0.03019
                   2                   2                   2               65536             0.60000             3.20387             1.69080             2.85880               39339             0.60027                   1              adamGD                   1                  62             0.10000             0.01624             0.09639             0.02251
                   2                   2                   2               65536             0.60000             3.18538             1.56936             2.46290               39182             0.59787                   1              adamGD                   1                  63             0.10000             0.01800             0.09178             0.02611
                   2                   2                   2               65536             0.60000             3.18577             1.51896             2.30725               38646             0.58969                   1              adamGD                   1                  64             0.10000             0.02119             0.09890             0.02930
                   2                   2                   2               65536             0.60000             3.18035             1.72610             2.97942               38380             0.58563                   1              adamGD                   1                  65             0.10000             0.01792             0.07406             0.02652
                   2                   2                   2               65536             0.60000             3.19654             1.81565             3.29659               38092             0.58124                   1              adamGD                   1                  66             0.10000             0.01492             0.08814             0.02152
                   2                   2                   2               65536             0.60000             3.19854             2.65944             7.07262               37256             0.56848                   1              adamGD                   1                  67             0.10000             0.01294             0.09187             0.02084
                   2                   2                   2               65536             0.60000             3.16051             1.42846             2.04049               36724             0.56036                   1              adamGD                   1                  68             0.10000             0.00262             0.08843             0.00282
                   2                   2                   2               65536             0.60000             3.16216             1.47597             2.17850               35916             0.54803                   1              adamGD                   1                  69             0.10000             0.00789             0.08028             0.01377
                   2                   2                   2               65536             0.60000             3.18385             1.81833             3.30633               35455             0.54100                   1              adamGD                   1                  70             0.10000             0.00761             0.09574             0.00898
