          Dimensions           Particles        Hidden-nodes         Metro-steps          StepLength              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling       optimizerType         Interaction               Epoch        LearningRate      HiddenGradNorm     VisibleGradNorm      WeightGradNorm
                   2                   2                   2               65536             0.60000             3.28057             3.68465            13.57662               53771             0.82048                   1              adamGD                   1                   0             0.10000             0.00398             0.21116             0.00048
                   2                   2                   2               65536             0.60000             3.28222             3.02450             9.14760               50499             0.77055                   1              adamGD                   1                   1             0.10000             0.01913             0.25627             0.00631
                   2                   2                   2               65536             0.60000             3.24199             2.05811             4.23583               52256             0.79736                   1              adamGD                   1                   2             0.10000             0.00324             0.12598             0.00062
                   2                   2                   2               65536             0.60000             3.26525             2.39056             5.71479               53327             0.81371                   1              adamGD                   1                   3             0.10000             0.00284             0.14226             0.00028
                   2                   2                   2               65536             0.60000             3.24396             1.71956             2.95690               53553             0.81715                   1              adamGD                   1                   4             0.10000             0.00353             0.20335             0.00034
                   2                   2                   2               65536             0.60000             3.26583             1.97138             3.88632               53645             0.81856                   1              adamGD                   1                   5             0.10000             0.00149             0.18123             0.00018
                   2                   2                   2               65536             0.60000             3.24463             1.78696             3.19323               52911             0.80736                   1              adamGD                   1                   6             0.10000             0.00014             0.13594             0.00002
                   2                   2                   2               65536             0.60000             3.22602             1.63610             2.67684               52336             0.79858                   1              adamGD                   1                   7             0.10000             0.00025             0.13096             0.00006
                   2                   2                   2               65536             0.60000             3.23739             1.99917             3.99668               51672             0.78845                   1              adamGD                   1                   8             0.10000             0.00242             0.09478             0.00080
                   2                   2                   2               65536             0.60000             3.23178             1.81976             3.31153               50607             0.77220                   1              adamGD                   1                   9             0.10000             0.00296             0.07724             0.00117
                   2                   2                   2               65536             0.60000             3.23501             1.99971             3.99882               49201             0.75075                   1              adamGD                   1                  10             0.10000             0.00347             0.07278             0.00169
                   2                   2                   2               65536             0.60000             3.24573             2.41348             5.82488               47361             0.72267                   1              adamGD                   1                  11             0.10000             0.00076             0.07516             0.00046
                   2                   2                   2               65536             0.60000             3.21622             1.43457             2.05800               46316             0.70673                   1              adamGD                   1                  12             0.10000             0.01414             0.14499             0.00963
                   2                   2                   2               65536             0.60000             3.25980             3.57346            12.76963               48168             0.73499                   1              adamGD                   1                  13             0.10000             0.00480             0.10206             0.00290
                   2                   2                   2               65536             0.60000             3.21304             2.17897             4.74792               48882             0.74588                   1              adamGD                   1                  14             0.10000             0.00209             0.07099             0.00119
                   2                   2                   2               65536             0.60000             3.22851             2.22399             4.94614               49923             0.76176                   1              adamGD                   1                  15             0.10000             0.00120             0.03674             0.00061
                   2                   2                   2               65536             0.60000             3.21739             1.85319             3.43430               50788             0.77496                   1              adamGD                   1                  16             0.10000             0.00045             0.03191             0.00009
                   2                   2                   2               65536             0.60000             3.23239             1.80399             3.25439               51188             0.78107                   1              adamGD                   1                  17             0.10000             0.00027             0.06464             0.00005
                   2                   2                   2               65536             0.60000             3.22548             1.82832             3.34275               51368             0.78381                   1              adamGD                   1                  18             0.10000             0.00130             0.04502             0.00061
                   2                   2                   2               65536             0.60000             3.23783             2.56066             6.55697               51362             0.78372                   1              adamGD                   1                  19             0.10000             0.00223             0.05122             0.00099
                   2                   2                   2               65536             0.60000             3.22391             1.56114             2.43716               51057             0.77907                   1              adamGD                   1                  20             0.10000             0.00178             0.03225             0.00079
                   2                   2                   2               65536             0.60000             3.22672             1.93889             3.75931               50555             0.77141                   1              adamGD                   1                  21             0.10000             0.00181             0.03252             0.00081
                   2                   2                   2               65536             0.60000             3.22314             1.83141             3.35407               50067             0.76396                   1              adamGD                   1                  22             0.10000             0.00188             0.05382             0.00084
                   2                   2                   2               65536             0.60000             3.22867             1.58731             2.51954               49294             0.75217                   1              adamGD                   1                  23             0.10000             0.00020             0.02906             0.00008
                   2                   2                   2               65536             0.60000             3.23294             1.88128             3.53923               48631             0.74205                   1              adamGD                   1                  24             0.10000             0.00292             0.03727             0.00150
                   2                   2                   2               65536             0.60000             3.23307             2.21250             4.89514               48476             0.73969                   1              adamGD                   1                  25             0.10000             0.00231             0.02955             0.00117
                   2                   2                   2               65536             0.60000             3.21614             1.68993             2.85585               48735             0.74364                   1              adamGD                   1                  26             0.10000             0.00183             0.04296             0.00088
                   2                   2                   2               65536             0.60000             3.21842             1.85118             3.42685               49117             0.74947                   1              adamGD                   1                  27             0.10000             0.00212             0.04935             0.00094
                   2                   2                   2               65536             0.60000             3.23272             2.08592             4.35106               49543             0.75597                   1              adamGD                   1                  28             0.10000             0.00152             0.04730             0.00065
                   2                   2                   2               65536             0.60000             3.21943             1.77428             3.14807               49722             0.75870                   1              adamGD                   1                  29             0.10000             0.00087             0.04700             0.00037
                   2                   2                   2               65536             0.60000             3.22345             1.91464             3.66584               50052             0.76373                   1              adamGD                   1                  30             0.10000             0.00007             0.02417             0.00002
                   2                   2                   2               65536             0.60000             3.22806             1.78535             3.18749               49810             0.76004                   1              adamGD                   1                  31             0.10000             0.00075             0.02823             0.00031
                   2                   2                   2               65536             0.60000             3.22403             1.94957             3.80083               49860             0.76080                   1              adamGD                   1                  32             0.10000             0.00028             0.07446             0.00005
                   2                   2                   2               65536             0.60000             3.21408             1.76035             3.09883               49707             0.75847                   1              adamGD                   1                  33             0.10000             0.00231             0.01882             0.00097
                   2                   2                   2               65536             0.60000             3.21755             1.68866             2.85157               49799             0.75987                   1              adamGD                   1                  34             0.10000             0.00040             0.02143             0.00018
                   2                   2                   2               65536             0.60000             3.22132             2.62643             6.89814               49955             0.76225                   1              adamGD                   1                  35             0.10000             0.00077             0.03462             0.00036
                   2                   2                   2               65536             0.60000             3.22296             2.03967             4.16027               50111             0.76463                   1              adamGD                   1                  36             0.10000             0.00110             0.02749             0.00053
                   2                   2                   2               65536             0.60000             3.22366             1.62360             2.63607               50030             0.76340                   1              adamGD                   1                  37             0.10000             0.00090             0.02056             0.00046
                   2                   2                   2               65536             0.60000             3.22091             2.08448             4.34506               49970             0.76248                   1              adamGD                   1                  38             0.10000             0.00210             0.03773             0.00109
                   2                   2                   2               65536             0.60000             3.22298             1.88365             3.54813               50312             0.76770                   1              adamGD                   1                  39             0.10000             0.00178             0.04270             0.00087
                   2                   2                   2               65536             0.60000             3.23050             2.43531             5.93072               49888             0.76123                   1              adamGD                   1                  40             0.10000             0.00174             0.04010             0.00086
                   2                   2                   2               65536             0.60000             3.20732             1.49016             2.22057               49538             0.75589                   1              adamGD                   1                  41             0.10000             0.00055             0.03415             0.00029
                   2                   2                   2               65536             0.60000             3.22401             1.50238             2.25715               49314             0.75247                   1              adamGD                   1                  42             0.10000             0.00051             0.02393             0.00027
                   2                   2                   2               65536             0.60000             3.21558             1.85548             3.44279               49494             0.75522                   1              adamGD                   1                  43             0.10000             0.00282             0.06222             0.00160
                   2                   2                   2               65536             0.60000             3.21125             1.40755             1.98119               49536             0.75586                   1              adamGD                   1                  44             0.10000             0.00122             0.02985             0.00065
                   2                   2                   2               65536             0.60000             3.22387             2.30164             5.29753               50013             0.76314                   1              adamGD                   1                  45             0.10000             0.00144             0.03557             0.00074
                   2                   2                   2               65536             0.60000             3.22888             1.74204             3.03471               49955             0.76225                   1              adamGD                   1                  46             0.10000             0.00123             0.06128             0.00065
                   2                   2                   2               65536             0.60000             3.23649             4.52075            20.43722               50046             0.76364                   1              adamGD                   1                  47             0.10000             0.00046             0.05553             0.00012
                   2                   2                   2               65536             0.60000             3.20570             1.72341             2.97015               49796             0.75983                   1              adamGD                   1                  48             0.10000             0.00284             0.08837             0.00175
